"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"VIA-1,0mm";16;"VIA-1,0mm";;;
2;"REF**";"EuroBoard_viertel_Type-I_80mmX50mm";1;"EuroBoard_viertel_Type-I_80mmX50mm";;;
3;"SH_1,SH2";"ARDUINO_SHIELD_2";2;"ARDUINO_SHIELD";;;
4;"DD1";"Diode_DO-41_SOD81_Horizontal_RM10";1;"DIODE";;;
5;"ROH1,ROH2";"Resistor_Horizontal_RM10mm";2;"R";;;
6;"FH2";"7805";1;"7815";;;
7;"CD3";"C_Rect_L7_W2_P5";1;"500n";;;
8;"CNH1";"Banana_Jack_2Pin";1;"HIGH";;;
9;"CNL1";"Banana_Jack_2Pin";1;"LOW";;;
10;"CONH1,CONL1";"BARREL_JACK";2;"BARREL_JACK";;;
11;"DH1,DH2,DL1";"Diode_DO-41_SOD81_Horizontal_RM10";3;"D_Small";;;
12;"DR1";"DIP-14_W7.62mm_LongPads";1;"IRS2186";;;
13;"FH1,FL1";"7805";2;"7805";;;
14;"JPF1";"Pin_Header_Straight_1x03";1;"JUMPER3";;;
15;"JPO1,JPO2,JPO3,JPO4";"Pin_Header_Straight_1x02";4;"JUMPER";;;
16;"LDH1,LDH2,LDL1";"LED-3MM";3;"LED";;;
17;"OPT1";"DIP-8_W7.62mm_LongPads";1;"TLP2631";;;
18;"PVH1,PVL1";"Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp";2;"1M";;;
19;"RH1,RH2,RL1";"Resistor_Horizontal_RM10mm";3;"10k";;;
20;"RiH1,RiL1";"Resistor_TO-220_Vertical";2;"0.02";;;
21;"RM1,RM2";"Resistor_Horizontal_RM10mm";2;"2R2";;;
22;"RO1,RO2";"Resistor_Horizontal_RM10mm";2;"470";;;
23;"RO3,RO4";"Resistor_Horizontal_RM10mm";2;"220";;;
24;"RVH1,RVL1";"Resistor_Horizontal_RM10mm";2;"470k";;;
25;"RVH2,RVL2";"Resistor_Horizontal_RM10mm";2;"4k7";;;
26;"TH1,TH2,TH3,TH4,TH5,TH6,TH7,TH8,TH9,TH10,TH11,TH12,TH13,TH14,TH15,TH16,TL1,TL2,TL3,TL4,TL5,TL6,TL7,TL8,TL9,TL10,TL11,TL12";"Measurement_Point_Round-TH_Small";28;"CONN_01X01";;;
27;"CPH1,CPL1";"C_Radial_D12.5_L25_P5";2;"C";;;
28;"MH1,ML1";"TO-220_Neutral123_Horizontal_MountedFromLS_LargePads";2;"FDPF39N20";;;
29;"iA3,iA1,iA2,iA4";"AMC1100";4;"AMC1100";;;
30;"CNDbH1,CNDb1";"Pin_Header_Angled_2x08_large";2;"CONN_02X08";;;
31;"CO1";"C_Rect_L7_W2_P5_fat";1;"C";;;
32;"C_M8,C_M7,C_M6,C_M5,C_M4,C_M3,C_M2,C_M1";"C_Rect_L7_W2_P5_fat";8;"100nF";;;
33;"CL2,CL1,CH4,CH3,CH2,CH1";"C_Rect_L7_W2_P5_fat";6;"1u";;;
34;"REF**";"EuroBoard160mmX100mm_holes";1;"EuroBoard160mmX100mm_holes";;;
35;"L1";"MURATA_Inductor_Big";1;"INDUCTOR";;;
36;"CD2,CD1";"C_Rect_L7_W2_P5_fat";2;"100n";;;
